patch_idx,height_difference,mean_z,max_z,std_z,range_z,ds_magnitude,modified_ds_magnitude,local_shape_ds_magnitude
0,6.146944695651945e-06,-0.04689438902426207,-0.0468678930062331,2.6016160518802114e-05,5.204517063725489e-05,1.951682101293826,1.9516821012938257,2.3632214152694293
1,5.771126144451266e-06,-0.046893447591494324,-0.04686789767398526,2.6015899492838026e-05,5.204561071998903e-05,1.982763219990717,1.9827632199907168,2.392838150086854
2,6.164411219784111e-06,-0.04689439854672475,-0.04686790332198142,2.601641430024376e-05,5.204603075981834e-05,1.982984680909743,1.9829846809097433,2.3761005774373714
3,6.248630551094162e-06,-0.04689432760842567,-0.04686790758886783,2.594698224638294e-05,5.204633489127447e-05,1.9648994564091438,1.9649001036831972,2.3829630424698878
4,8.93173561770657e-06,-0.04689062466891755,-0.046867914497852325,2.580896633173912e-05,5.204441478416644e-05,1.9821613515527208,1.9821606541221677,2.370684272830568
5,8.400319615376668e-06,-0.046896307453976764,-0.046867918223142624,2.5912509501458183e-05,5.204638059452121e-05,1.9782776503257629,1.9782706730482384,2.3134654543136426
6,7.278344578063018e-06,-0.0468925278775977,-0.046867925673723214,2.598173007438898e-05,5.204461422250034e-05,1.9758699217062943,1.975868960307059,2.321269854195493
7,5.581543403849196e-06,-0.04689347966871058,-0.04686792939901352,2.601590401098071e-05,5.20460307598114e-05,1.952532242701432,1.9525322427014309,2.372839405807575
8,5.960277105280568e-06,-0.04689348481930367,-0.04686793644549413,2.601596271027777e-05,5.204317406601322e-05,1.9739906909582374,1.9739906909582374,2.365153307361914
9,5.770367074054505e-06,-0.0468934901528504,-0.046867940574884415,2.601594100930565e-05,5.204603075981834e-05,1.9756847546145977,1.9756847546145981,2.352051486325613
10,5.771961393353888e-06,-0.0468934943550869,-0.04686794430017471,2.6016151973030734e-05,5.20460307598114e-05,1.9679674873286008,1.9679674873286008,2.3512398583956724
11,5.9600739243604555e-06,-0.04689350026991002,-0.04686795119394441,2.601564889298564e-05,5.204539571648792e-05,1.9799929191091228,1.9799929191091217,2.370484620083861
12,5.961327859424223e-06,-0.04689350477427454,-0.04686795547604561,2.6016245558121335e-05,5.204603075981834e-05,1.9634000195150698,1.96340001951507,2.3637822620434963
13,5.771232220541474e-06,-0.04689351061747227,-0.04686796009339248,2.6015731112274736e-05,5.204707798100311e-05,1.9638629561258394,1.9638629561258392,2.3638731323817437
14,6.338496638041115e-06,-0.046894461855035964,-0.046867966651916504,2.6016078799650212e-05,5.204523507880421e-05,1.957419672482296,1.9574169998690305,2.3640309213359765
15,6.899841835010385e-06,-0.04689541334015635,-0.0468679703772068,2.5981881208870384e-05,5.204603075981834e-05,1.9883858503199352,1.9883847796867475,2.3709884178622582
16,5.771949486184239e-06,-0.04689352570010401,-0.04686797491635762,2.6015892387105293e-05,5.204775857929611e-05,1.9659999084460285,1.9659981913332487,2.3643228706718715
17,7.84538570004721e-06,-0.046892585593844516,-0.0468679815530777,2.59817923273798e-05,5.20460307598114e-05,1.9853732297144995,1.9853728550797434,2.373061043233461
18,6.7099040979438165e-06,-0.04689542865141981,-0.04686798548991543,2.598162299869315e-05,5.204632578612034e-05,1.9637264190412989,1.9637264190412984,2.3513718742131915
19,7.088473845218205e-06,-0.046892596313064076,-0.04686799272894859,2.5981984719932143e-05,5.20460307598114e-05,1.9452109265847923,1.9452086459385012,2.3480500170601992
20,7.45443826103073e-06,-0.04689165447442931,-0.04686799645423889,2.591255681259895e-05,5.20460307598114e-05,1.964493334410377,1.9644923720048595,2.380115510074997
21,5.771551248187953e-06,-0.046894498829659195,-0.04686800390009966,2.6015542711485802e-05,5.204318986764406e-05,1.9924638230124967,1.9924632040689005,2.373483415768342
22,5.960558996641163e-06,-0.04689355768685879,-0.04686800763010979,2.601608387698462e-05,5.20460307598114e-05,1.9907375461346821,1.9907375355843464,2.3682402451050324
23,7.4673170519890175e-06,-0.046892616835053115,-0.0468680144087527,2.5981546629726917e-05,5.204299063166218e-05,1.9849498989077632,1.9849473489053573,2.3598143598053545
24,5.5819866729723955e-06,-0.046894514682644196,-0.04686801880598068,2.60158452000856e-05,5.204603075981834e-05,1.9677677850241513,1.9677677850241513,2.378158809377222
25,6.527713011971501e-06,-0.04689357398220764,-0.04686802497469161,2.601615063642317e-05,5.204358733918585e-05,1.9614126885779264,1.961412688577927,2.360148567892373
26,6.331945751180126e-06,-0.04689547129761804,-0.046868029800310136,2.5981268534940047e-05,5.2046085279880416e-05,1.956224919892546,1.9562249198925468,2.3676696607175076
27,5.960622473996669e-06,-0.04689453055827914,-0.046868033707141876,2.6016451995104884e-05,5.20460307598114e-05,1.9663095261305608,1.9663078338959779,2.351638176551581
28,6.142642946398895e-06,-0.046892643327252514,-0.0468680396676624,2.5981597914823343e-05,5.204706046074703e-05,2.0735952013244088,2.0735968662669846,2.340763031917377
29,5.98146813929547e-06,-0.04689370150060138,-0.046868044883012765,2.6018107008540315e-05,5.204603075981834e-05,2.1408040155857244,2.1408029467059237,2.3582990346975765
30,5.207020503533554e-06,-0.046894389075735295,-0.046867892229769496,2.6016418078054208e-05,5.20459471008497e-05,1.9573583495670213,1.9573580055041027,2.35602924963445
31,7.088196047730837e-06,-0.046892501829539426,-0.046867897654139505,2.5981391650680824e-05,5.204687455644813e-05,1.96577009468636,1.965769347166549,2.393765709450423
32,5.804461070368347e-06,-0.046894398863185895,-0.04686790332198143,2.601623810512675e-05,5.204591460107599e-05,1.973322253568217,1.9733229612636523,2.3789712894192276
33,6.250916809481337e-06,-0.04689251208742877,-0.04686790741010321,2.5981293461514442e-05,5.204587760399698e-05,1.977280160295516,1.977280211645495,2.3804210847936758
34,6.159235948263821e-06,-0.046894409236991785,-0.04686791449785232,2.6016016067346055e-05,5.204400853652674e-05,1.982709604745943,1.9827096566306088,2.3744400255078983
35,5.794987787775831e-06,-0.04689441470567566,-0.046867918223142624,2.601587353236185e-05,5.20460307598114e-05,1.9804472926424899,1.9804447930641822,2.3532227670310752
36,6.031475670557899e-06,-0.046893473840467506,-0.046867925384282055,2.6016135883689964e-05,5.204290161747033e-05,1.9837992990547726,1.9837990363389784,2.3654707701610294
37,6.379172765910759e-06,-0.04689537138996741,-0.04686792939901352,2.598182823020124e-05,5.204603075981834e-05,1.9600654728507516,1.960065686268349,2.3732976106863286
38,5.794782371202987e-06,-0.04689443063062636,-0.04686793542121639,2.6016054618774055e-05,5.2043733847248475e-05,1.968067247468711,1.9680672474687102,2.344143419187149
39,5.794456998246292e-06,-0.04689443547930071,-0.0468679401070794,2.6015970549753254e-05,5.204649856482835e-05,1.9796386588802701,1.97963865888027,2.3631257474908374
40,6.1494046141220235e-06,-0.046894440684210496,-0.046867944300174706,2.601604215544365e-05,5.204603075981834e-05,1.9709123888901967,1.970912388890197,2.3860523208755535
41,5.559566357592437e-06,-0.04689444691910965,-0.046867951741613845,2.601592482458e-05,5.2046039901276764e-05,1.9822313767986954,1.9822311744159977,2.3771574828709263
42,6.615903216790906e-06,-0.04689539793489707,-0.04686795547604561,2.5981853234299844e-05,5.204603075981834e-05,1.9707421212593252,1.9707427422399824,2.3627024924660613
43,5.3227806312631924e-06,-0.046894457577457194,-0.04686796202945011,2.6015791612856504e-05,5.204601312349538e-05,1.9667954447446734,1.9667960953706904,2.359939378072038
44,6.615896053285431e-06,-0.04689256963016342,-0.046867966651916504,2.5981756854515872e-05,5.204484787846991e-05,1.9650080356957893,1.9650077262109265,2.3753145831651694
45,9.064441593119922e-06,-0.0468906826274011,-0.04686797103474642,2.580889274558754e-05,5.2045373220198365e-05,1.9626992317243532,1.9626964443768795,2.3294412198845786
46,8.709816219358046e-06,-0.0468973107508585,-0.046867976600254914,2.580824553364852e-05,5.204645913974709e-05,1.9763077278899384,1.976303137330188,2.353279122461235
47,5.439441801336157e-06,-0.046894478082330784,-0.04686798155307769,2.601631384017743e-05,5.204603075981834e-05,1.9646360834853185,1.9646365537714534,2.3705853559666723
48,6.378816620033549e-06,-0.0468954289686662,-0.04686798603239556,2.5981320705280658e-05,5.204629865759175e-05,1.9889664306263604,1.9889664306263604,2.367270223735457
49,5.558791288404569e-06,-0.046894488545763786,-0.04686799272894859,2.6016100220764338e-05,5.204603075981834e-05,1.9509246540829976,1.950924700405466,2.351718360483509
50,7.088594451227049e-06,-0.046895439364045784,-0.04686799645423889,2.5981635836216744e-05,5.204603075981834e-05,1.9698987287213638,1.969898806608543,2.3532515867965906
51,6.851996070515835e-06,-0.046892606720348055,-0.04686800390481949,2.598101629753806e-05,5.204340675276503e-05,1.9868746831552389,1.9868759273606518,2.368603868122812
52,7.784346222346815e-06,-0.04689639591717905,-0.04686800763010979,2.59124911003782e-05,5.20460307598114e-05,1.9757930582225551,1.9757894972244416,2.3659529414797857
53,6.73390456090736e-06,-0.04689545515870651,-0.04686801392161473,2.598174851270201e-05,5.204346454517478e-05,1.9670263699882453,1.9670258942790873,2.3697380431524904
54,5.794345675244044e-06,-0.04689451402150382,-0.04686801823260375,2.601597999596075e-05,5.204660413674067e-05,1.9805884602051953,1.9805884602051955,2.372100721528702
55,5.321624076120401e-06,-0.04689451948437372,-0.04686802301486929,2.6016548552720645e-05,5.204554716150417e-05,1.964264814608964,1.9642648146089647,2.36315372547703
56,5.905639916775066e-06,-0.04689547084465492,-0.046868028370804324,2.598155357641242e-05,5.204764180706534e-05,1.9676779743898944,1.9676775249091674,2.352856331403922
57,5.794408686131289e-06,-0.04689358452349424,-0.04686803438357562,2.6016384420019786e-05,5.204535432606905e-05,1.9598542312525113,1.959854104189405,2.3642541037884737
58,7.745234869408088e-06,-0.04689169681280082,-0.0468680385626892,2.591239912130226e-05,5.204698523705864e-05,2.0493059452014943,2.049304480439072,2.3709767694806665
59,6.468413966645168e-06,-0.04689443428224024,-0.046868044883012765,2.6017946471163693e-05,5.204603075981834e-05,2.130320853948908,2.130318012050414,2.3706819547496343
60,6.140411355754068e-06,-0.04689533508704708,-0.046867892501632896,2.5981830849727777e-05,5.204567523745679e-05,1.9865416133708638,1.9865413979784432,2.3756230551469075
61,7.311278889113004e-06,-0.04689628571306076,-0.046867896371898164,2.5912447715702696e-05,5.2046176043964165e-05,1.971298830391916,1.971296825207,2.3451652472737905
62,7.326298413164495e-06,-0.046892505921641854,-0.04686790332198142,2.5981923195776188e-05,5.204580798603975e-05,1.9758129994239952,1.9758122682646286,2.3734846397269513
63,5.558059492944273e-06,-0.04689440375526374,-0.04686790704727172,2.6016106682751757e-05,5.204666959512244e-05,1.9723536034553535,1.9723539170344613,2.384946624160926
64,5.795656537506295e-06,-0.046893462718771796,-0.046867914497852325,2.60161754298231e-05,5.204267419740838e-05,1.9738319874371768,1.9738294006680754,2.3658302286179107
65,8.02193774426945e-06,-0.04689157571702896,-0.046867918223142624,2.5912237671094026e-05,5.20460307598114e-05,1.9713608426536005,1.9713642140374426,2.365997474645619
66,9.627986526776754e-06,-0.04689820454311471,-0.046867924507666664,2.5669661764098704e-05,5.2043471526076746e-05,1.9783903123315099,1.9783917142481495,2.369270310871892
67,7.326306454463645e-06,-0.046892532347066786,-0.04686792939690482,2.598140930028195e-05,5.204603286852044e-05,1.960370293957111,1.9603701065886652,2.3820256950188345
68,6.497203646246695e-06,-0.04689537663528451,-0.0468679346284457,2.5981875393008662e-05,5.204452661793091e-05,1.9627638705349253,1.9627638705349264,2.3583968776596906
69,7.089138534648316e-06,-0.04689254321791924,-0.04686793929565544,2.5981596251307948e-05,5.204730998878415e-05,1.9676794714469938,1.967679471446994,2.392966546172073
70,5.323095046283933e-06,-0.04689349371314221,-0.046867944300174706,2.6016167855273863e-05,5.204603075981834e-05,1.9629930802037954,1.962991597806561,2.3949891723231933
71,6.971204655969776e-06,-0.04689255360975518,-0.04686794893071948,2.598148050911875e-05,5.2047872411156715e-05,1.9741474228275089,1.9741450083918386,2.3815359892722796
72,7.783579338572886e-06,-0.04689634330433513,-0.0468679554760456,2.59128521847624e-05,5.204589902049056e-05,1.9750722366572517,1.9750684613219094,2.3707791672872682
73,6.032034941859181e-06,-0.04689351045905773,-0.046867959909668785,2.601585947975098e-05,5.204769022464084e-05,1.9867719924687468,1.9867718467410638,2.3637072127300125
74,7.561218806223205e-06,-0.046895408020547896,-0.046867966651916504,2.5981935087160248e-05,5.204532260746908e-05,1.9598440589169217,1.9598425725490278,2.3415475488830615
75,6.1495801480971665e-06,-0.04689446707468967,-0.0468679703772068,2.6016488616740106e-05,5.20460307598114e-05,1.9657112035450992,1.965709380370016,2.374455479018802
76,5.913926986587826e-06,-0.04689352583618715,-0.046867975665136376,2.6015857925029837e-05,5.204631181881386e-05,1.9838195877297047,1.9838183264186435,2.3705048240689113
77,6.142671560936195e-06,-0.046895424146899,-0.0468679815530777,2.5981624512239442e-05,5.20460307598114e-05,1.9720210719042457,1.97202137825574,2.3884250886668625
78,5.321414884807272e-06,-0.046894482915177435,-0.04686798552188598,2.601576651186373e-05,5.2046951182889434e-05,1.990966221845296,1.9909662218452964,2.384383106076329
79,5.558763651236089e-06,-0.04689448876061309,-0.04686799272894859,2.6016107792754824e-05,5.204603075981834e-05,1.9684974893750031,1.9684974893750034,2.383367837699961
80,5.7952858401497e-06,-0.04689354733877389,-0.04686799645423889,2.6015750507685174e-05,5.204616398747641e-05,1.9494598686912796,1.9494598686912796,2.3564318981284678
81,5.558697875165082e-06,-0.046894499142788273,-0.04686800390481949,2.6015513579526062e-05,5.204339452059836e-05,1.974362403666631,1.9743607012862223,2.354851214809168
82,5.439982071942154e-06,-0.04689450399736098,-0.04686800763010978,2.6015889550917286e-05,5.204603075981834e-05,1.9895561019120174,1.9895562511827147,2.3591770897949766
83,6.7342013904138755e-06,-0.04689261685291309,-0.0468680146414653,2.598178539862889e-05,5.204297092093607e-05,1.9658935604410415,1.9658931191616036,2.36757674798688
84,6.970677279758811e-06,-0.0468926219136137,-0.04686801880598068,2.5981383279358742e-05,5.20460307598114e-05,1.9752403956283597,1.9752404504843675,2.375506184943864
85,6.734112734671422e-06,-0.046895466068354985,-0.04686802396495772,2.5981750432092363e-05,5.204459707307263e-05,1.9681234024471173,1.968125938532893,2.379795820054856
86,6.504390195334324e-06,-0.04689357890232851,-0.04686802900649439,2.6016098197546126e-05,5.204700611700919e-05,1.9702602105059195,1.970259296401982,2.3705314441317142
87,8.946999817203862e-06,-0.0468973692394957,-0.04686803455614256,2.580899261852366e-05,5.204518175913608e-05,1.974224055408898,1.9742207426286942,2.349936453864113
88,6.629141776015607e-06,-0.04689264345070272,-0.046868038699898126,2.5981738303506528e-05,5.204785910536969e-05,2.0589246727558783,2.058924873550211,2.35324089861635
89,7.2589311821210595e-06,-0.04689516751211825,-0.04686804488301277,2.5997193342719136e-05,5.20460307598114e-05,2.12393630202745,2.123936459050799,2.3840954300702166
90,5.77376457043519e-06,-0.04689344320899499,-0.04686789412326639,2.6015983792106892e-05,5.204405360396264e-05,1.9696658586882425,1.9696620273306216,2.3680833326171125
91,6.616325288669303e-06,-0.046895340436313604,-0.046867898976883274,2.598125310601725e-05,5.204632660284203e-05,1.9766978922253589,1.9766974419760772,2.341689322682736
92,6.3795153918465375e-06,-0.04689534531019532,-0.04686790332198143,2.5981850362905743e-05,5.20460307598114e-05,1.9517500914627757,1.9517509638143657,2.324946835687959
93,7.785575818529147e-06,-0.04689629717225246,-0.04686790741796965,2.5912378630128917e-05,5.204799802218524e-05,1.9872237624972189,1.9872233079484283,2.355369045039551
94,5.676445518517497e-06,-0.046893463599211024,-0.04686791449785232,2.601621717844554e-05,5.2045122137300837e-05,1.9830426031786934,1.9830433913812642,2.378867493632221
